R,Vobs,Vgas,Vdisk,Vbulge
0.08,1.41,-5.85,1.5,0.0
0.23,4.46,-5.85,3.55,0.0
0.38,7.71,-0.98,5.31,0.0
0.54,11.0,-2.22,8.22,0.0
0.69,14.2,-3.47,10.22,0.0
0.84,17.2,-4.43,12.07,0.0
1.0,20.2,-5.15,13.91,0.0
1.15,23.2,-5.85,15.41,0.0
1.3,26.4,-1.76,16.74,0.0
1.46,29.3,2.33,17.86,0.0
1.61,31.6,5.46,18.77,0.0
1.76,34.6,7.63,19.16,0.0
1.92,37.4,9.79,19.52,0.0
2.07,39.9,11.26,19.66,0.0
2.22,42.2,12.73,19.81,0.0
2.38,44.4,13.9,19.88,0.0
2.53,46.7,14.68,20.02,0.0
2.68,48.5,15.47,19.97,0.0
2.76,49.3,15.76,19.92,0.0
3.07,53.0,16.84,19.61,0.0
3.46,54.1,18.3,19.28,0.0
3.83,55.0,18.5,18.95,0.0
4.23,55.7,18.21,18.54,0.0
4.62,56.4,19.58,18.33,0.0
4.99,56.9,20.46,18.23,0.0
