R,Vobs,Vgas,Vdisk,Vbulge
0.12,4.2,-0.46,3.95,0.0
0.36,9.41,-0.53,11.2,0.0
0.59,15.3,1.73,15.88,0.0
0.83,18.4,4.19,19.68,0.0
1.07,23.4,6.57,22.21,0.0
1.31,28.1,9.69,23.33,0.0
1.54,33.1,12.94,22.77,0.0
1.79,37.5,15.67,22.48,0.0
2.02,40.5,17.89,22.28,0.0
2.26,42.3,19.31,22.0,0.0
2.49,45.2,20.12,21.29,0.0
2.74,47.4,21.03,20.52,0.0
2.97,48.1,22.14,19.83,0.0
3.21,48.8,23.15,19.12,0.0
3.44,50.7,23.96,18.46,0.0
3.69,52.1,24.56,17.79,0.0
3.92,53.0,25.07,17.2,0.0
4.16,53.7,25.27,16.63,0.0
4.4,51.2,25.47,16.1,0.0
4.64,51.6,25.68,15.61,0.0
4.87,51.5,26.18,15.18,0.0
5.11,50.4,26.59,14.76,0.0
5.35,48.5,26.69,14.37,0.0
5.59,50.0,26.59,14.01,0.0
5.82,49.0,26.28,13.7,0.0
6.06,49.4,26.18,13.37,0.0
