R,Vobs,Vgas,Vdisk,Vbulge
0.28,168.0,0.42,42.14,211.56
0.37,187.0,0.61,53.98,220.85
0.47,204.0,0.79,66.33,227.4
0.56,218.0,0.96,76.79,231.5
0.65,232.0,1.14,86.68,234.01
0.75,243.0,1.31,97.06,236.69
0.84,253.0,1.48,105.9,240.47
0.93,262.0,1.66,114.28,245.03
1.03,269.0,1.83,123.11,249.19
1.12,275.0,2.0,130.64,251.82
1.21,280.0,2.17,137.79,253.43
1.3,284.0,2.33,144.6,253.93
1.41,287.0,2.5,152.47,253.45
1.5,289.0,2.66,158.56,252.44
1.59,290.0,2.82,164.36,251.04
1.68,291.0,2.97,169.88,249.18
1.78,292.0,3.12,175.7,246.75
1.87,292.0,3.26,180.66,244.32
1.96,291.0,3.39,185.38,241.92
2.05,291.0,3.5,189.88,239.71
2.16,291.0,3.61,195.08,237.06
2.25,290.0,3.7,199.1,234.93
2.34,290.0,3.76,202.92,232.89
2.43,290.0,3.79,206.55,231.12
2.46,290.0,3.79,207.71,230.63
2.53,290.0,3.79,210.36,229.44
2.62,290.0,3.8,213.61,227.9
2.71,290.0,3.81,216.71,226.55
2.8,290.0,3.84,219.64,225.09
2.99,290.0,3.94,225.37,221.46
3.28,291.0,4.12,233.01,215.11
3.74,292.0,4.56,241.64,204.42
3.83,292.0,4.69,242.91,202.36
4.02,292.0,5.12,245.41,198.15
4.09,292.0,5.35,246.19,196.62
4.12,292.0,5.4,246.51,195.97
4.3,291.0,6.12,248.01,192.16
4.39,291.0,6.56,248.54,190.25
4.49,291.0,7.04,249.06,188.24
4.58,290.0,7.58,249.41,186.48
4.87,289.0,9.59,250.14,181.04
4.91,288.0,10.06,250.19,180.31
4.96,288.0,10.42,250.25,179.41
5.05,287.0,11.18,250.32,177.88
5.14,287.0,12.03,250.34,176.33
5.24,286.0,12.78,250.33,174.68
5.33,286.0,13.42,250.26,173.23
5.42,285.0,14.16,250.17,171.83
5.51,285.0,14.91,250.09,170.39
5.61,284.0,15.66,250.01,168.9
5.71,284.0,16.4,249.99,167.49
5.8,283.0,17.15,249.96,166.22
5.89,283.0,17.89,249.9,164.93
5.98,283.0,18.64,249.84,163.71
6.08,283.0,19.38,249.76,162.34
6.15,283.0,20.02,249.7,161.44
6.17,283.0,20.24,249.69,161.19
6.26,283.0,21.09,249.61,160.0
6.35,283.0,21.83,249.49,158.86
6.73,284.0,24.6,248.66,154.26
6.83,284.0,25.24,248.3,153.14
6.92,285.0,25.88,247.92,152.15
7.37,288.0,28.33,245.58,147.41
8.6,297.0,31.2,235.09,136.47
9.83,305.0,29.29,222.03,127.66
