R,Vobs,Vgas,Vdisk,Vbulge
0.28,11.9,0.95,6.22,0.0
0.87,34.8,2.93,17.64,0.0
1.46,58.5,4.98,27.33,0.0
2.05,81.5,7.2,35.16,0.0
2.35,91.8,8.24,37.71,0.0
4.76,114.0,16.62,45.06,0.0
7.86,116.0,34.33,41.16,0.0
8.7,117.0,39.57,40.09,0.0
10.18,118.0,39.57,38.11,0.0
10.47,118.0,39.57,37.78,0.0
