R,Vobs,Vgas,Vdisk,Vbulge
0.11,9.1,0.65,27.23,0.0
0.14,17.6,0.65,29.91,0.0
0.17,19.3,0.65,32.32,0.0
0.21,24.8,0.65,35.62,0.0
0.24,30.0,0.74,37.98,0.0
0.28,35.0,0.9,40.67,0.0
0.32,38.3,1.05,43.2,0.0
0.35,42.7,1.21,45.04,0.0
0.39,47.0,1.36,47.33,0.0
0.42,49.8,1.52,48.89,0.0
0.46,52.2,1.67,51.0,0.0
0.49,53.4,1.83,52.6,0.0
0.53,54.6,1.99,54.8,0.0
0.56,55.5,2.12,56.23,0.0
0.6,55.9,2.23,57.57,0.0
0.63,58.3,2.35,58.53,0.0
0.66,59.3,2.47,59.59,0.0
0.7,59.5,2.59,61.08,0.0
0.87,59.1,3.18,66.09,0.0
1.05,62.6,3.96,69.65,0.0
1.22,65.6,5.5,72.34,0.0
1.4,70.7,7.05,75.45,0.0
1.57,73.9,8.58,78.94,0.0
1.75,78.5,10.09,82.71,0.0
1.92,82.4,11.55,87.55,0.0
2.1,87.1,13.06,92.38,0.0
2.27,89.6,14.78,95.96,0.0
2.45,94.9,16.4,96.45,0.0
2.62,98.1,18.13,95.98,0.0
2.79,99.3,20.29,96.23,0.0
2.97,98.6,22.34,96.64,0.0
3.16,101.0,24.5,96.45,0.0
3.33,103.0,26.22,95.51,0.0
3.51,107.0,27.95,94.38,0.0
3.68,114.0,29.68,93.3,0.0
3.85,112.0,29.78,92.28,0.0
4.03,114.0,30.0,91.15,0.0
4.2,116.0,30.11,89.82,0.0
4.38,114.0,30.65,88.18,0.0
4.73,114.0,31.83,85.52,0.0
5.25,109.0,33.35,82.4,0.0
5.78,107.0,34.64,77.56,0.0
6.3,105.0,34.75,74.17,0.0
6.82,101.0,33.99,71.94,0.0
7.35,94.5,32.7,69.09,0.0
7.87,90.8,30.97,66.92,0.0
