R,Vobs,Vgas,Vdisk,Vbulge
0.35,14.4,-0.61,15.45,0.0
0.69,24.4,-1.22,17.95,0.0
1.03,29.2,-2.04,20.19,0.0
1.38,32.9,-1.72,21.43,0.0
1.72,37.8,3.47,22.82,0.0
2.07,42.0,3.53,25.15,0.0
2.41,45.1,4.13,26.82,0.0
2.76,47.6,6.88,28.98,0.0
3.1,52.3,9.39,30.06,0.0
3.45,57.3,11.99,30.89,0.0
3.79,61.4,14.78,31.14,0.0
4.14,64.5,16.87,32.08,0.0
4.48,66.4,18.27,32.77,0.0
4.82,66.9,19.32,33.02,0.0
5.17,69.4,19.78,33.86,0.0
5.51,70.2,19.55,34.37,0.0
5.86,70.9,19.78,34.15,0.0
6.2,72.3,20.48,34.36,0.0
6.55,73.9,21.53,34.78,0.0
6.89,75.0,22.81,35.14,0.0
7.25,75.5,24.09,35.58,0.0
7.58,77.1,25.37,36.1,0.0
7.94,77.0,26.77,36.68,0.0
8.27,77.0,28.28,37.11,0.0
8.63,78.2,29.91,37.49,0.0
8.97,79.6,31.07,37.76,0.0
9.3,80.3,32.12,37.98,0.0
9.66,81.2,33.05,38.12,0.0
9.99,82.3,33.75,38.33,0.0
10.35,83.8,34.21,38.96,0.0
10.69,79.0,34.56,38.32,0.0
