R,Vobs,Vgas,Vdisk,Vbulge
0.92,234.0,-5.19,121.44,254.98
2.32,192.0,-10.42,280.89,185.98
3.24,212.0,-11.44,325.09,158.37
4.17,223.0,-11.64,311.44,139.66
5.1,222.0,-11.54,293.95,126.35
6.03,224.0,-11.44,280.55,116.3
6.96,224.0,-9.02,271.7,108.06
7.89,226.0,6.44,260.33,101.6
8.8,226.0,16.24,254.4,96.17
9.73,227.0,25.64,241.26,91.46
10.64,227.0,32.27,231.49,87.46
11.58,224.0,35.44,224.36,83.84
12.52,220.0,42.18,213.5,80.63
13.46,218.0,46.37,208.0,77.76
14.4,217.0,49.33,200.84,75.18
15.33,216.0,49.33,193.84,72.86
16.27,210.0,47.29,188.07,70.73
17.11,208.0,45.04,182.56,68.97
