R,Vobs,Vgas,Vdisk,Vbulge
0.09,231.0,-0.75,12.18,80.49
0.17,231.0,-0.9,23.29,154.33
0.26,231.0,-0.97,35.2,203.79
0.34,231.0,-1.0,45.31,224.63
0.43,232.0,-1.04,56.16,236.57
0.51,232.0,-1.11,65.37,243.18
0.6,232.0,-1.21,75.35,248.89
0.69,232.0,-1.34,84.97,252.61
0.77,233.0,-1.48,93.17,255.01
0.86,233.0,-1.64,102.03,256.4
0.95,234.0,-1.82,110.51,257.17
1.03,235.0,-2.0,117.74,258.4
1.11,235.0,-2.17,124.74,258.76
1.2,236.0,-2.35,132.45,259.47
1.29,237.0,-2.54,139.94,259.74
1.38,238.0,-2.73,147.1,259.48
1.46,238.0,-2.94,153.23,258.65
1.55,239.0,-3.15,159.87,257.13
1.63,240.0,-3.37,165.58,255.36
1.72,241.0,-3.59,171.83,252.89
1.8,242.0,-3.81,177.21,250.43
1.89,243.0,-4.02,183.03,247.35
1.98,244.0,-4.24,188.55,244.09
2.07,246.0,-4.48,193.82,240.73
2.15,247.0,-4.72,198.33,237.68
2.23,248.0,-4.99,202.68,234.62
2.32,249.0,-5.25,207.44,231.17
2.4,251.0,-5.52,211.55,228.14
2.49,252.0,-5.8,216.16,224.74
2.58,253.0,-6.06,220.83,221.41
2.67,254.0,-6.31,225.64,218.17
2.75,256.0,-6.56,230.0,215.36
2.83,257.0,-6.82,234.46,212.6
2.92,259.0,-7.07,239.57,209.57
3.0,260.0,-7.31,243.97,206.96
3.09,262.0,-7.55,248.68,204.14
3.18,263.0,-7.78,252.98,201.42
3.27,264.0,-8.0,256.93,198.78
3.35,266.0,-8.21,260.17,196.48
3.43,267.0,-8.4,263.1,194.27
4.21,280.0,-9.93,282.25,175.61
4.29,282.0,-10.07,283.7,173.97
4.38,283.0,-10.2,285.12,172.2
4.47,285.0,-10.32,286.54,170.45
4.8,290.0,-10.66,290.98,164.51
5.25,296.0,-10.87,296.92,157.31
5.32,298.0,-10.98,297.8,156.27
5.41,299.0,-10.98,298.79,154.97
5.5,300.0,-10.87,299.65,153.7
5.58,301.0,-10.87,300.25,152.59
5.67,302.0,-10.87,300.59,151.39
5.76,303.0,-10.77,301.15,150.21
6.0,306.0,-10.56,302.48,147.17
6.18,307.0,-10.25,303.22,145.01
6.27,308.0,-10.11,303.58,143.96
6.36,309.0,-9.94,303.97,142.94
6.45,310.0,-9.76,304.41,141.93
6.53,310.0,-9.58,304.83,141.06
6.61,311.0,-9.37,305.34,140.2
6.7,312.0,-9.15,306.03,139.26
6.79,312.0,-8.91,306.85,138.35
6.87,313.0,-8.64,307.19,137.53
6.96,313.0,-8.36,307.95,136.63
7.05,314.0,-8.05,308.63,135.75
7.2,315.0,-7.43,309.44,134.31
7.39,316.0,-6.59,309.73,132.58
7.47,316.0,-6.16,309.53,131.86
7.99,318.0,-2.38,307.52,127.53
8.08,318.0,-0.67,307.34,126.82
8.16,318.0,2.0,307.11,126.2
8.25,319.0,2.92,307.22,125.51
8.34,319.0,3.49,307.32,124.83
8.4,319.0,3.85,307.36,124.38
9.59,319.0,7.94,304.71,116.41
10.8,317.0,12.02,299.89,109.7
12.02,312.0,17.77,298.77,103.98
13.22,308.0,22.79,295.36,99.15
14.42,303.0,24.88,287.38,94.93
15.63,298.0,24.46,274.79,91.19
16.83,296.0,24.25,262.23,87.87
18.03,294.0,25.92,253.58,84.9
19.23,294.0,28.33,245.5,82.21
20.43,294.0,31.05,237.34,79.76
21.64,292.0,33.56,229.62,77.5
22.84,290.0,34.91,222.49,75.43
24.04,287.0,34.6,215.84,73.53
25.24,283.0,32.72,209.67,71.76
26.44,279.0,31.05,203.93,70.11
27.65,276.0,30.52,198.57,68.56
28.85,273.0,30.21,193.62,67.12
30.05,271.0,30.0,189.02,65.76
31.25,270.0,30.73,184.73,64.49
32.34,268.0,31.88,181.07,63.39
33.55,267.0,33.03,177.28,62.24
34.75,266.0,33.45,173.75,61.15
35.95,265.0,33.24,170.44,60.13
37.15,264.0,32.93,167.32,59.15
38.35,264.0,32.82,164.38,58.21
39.56,264.0,33.03,161.57,57.32
40.76,264.0,33.76,158.94,56.47
41.96,264.0,34.29,156.44,55.65
43.16,264.0,34.29,154.06,54.87
44.36,262.0,34.08,151.79,54.13
45.57,260.0,34.39,149.61,53.4
46.77,258.0,34.81,147.54,52.71
47.97,257.0,34.81,145.56,52.05
49.17,258.0,34.6,143.67,51.41
50.37,260.0,34.6,141.84,50.79
51.58,263.0,34.6,140.1,50.2
52.78,265.0,34.18,138.41,49.62
53.98,266.0,33.56,136.79,49.07
55.18,266.0,33.14,135.22,48.53
57.59,262.0,32.72,132.24,47.5
59.99,263.0,31.36,129.47,46.54
62.39,272.0,30.52,126.87,45.64
