R,Vobs,Vgas,Vdisk,Vbulge
2.43,62.2,10.89,136.53,0.0
3.65,88.2,14.29,148.1,0.0
4.86,107.0,16.72,150.72,0.0
6.08,120.0,25.95,151.05,0.0
7.29,124.0,32.85,157.64,0.0
8.51,128.0,38.2,155.32,0.0
9.73,133.0,40.33,153.04,0.0
10.96,138.0,39.17,152.74,0.0
12.19,143.0,46.36,150.89,0.0
13.41,146.0,53.75,145.59,0.0
14.55,148.0,56.66,141.61,0.0
15.78,154.0,60.84,137.81,0.0
17.0,158.0,62.11,133.01,0.0
18.23,159.0,60.94,128.36,0.0
19.46,160.0,60.06,123.99,0.0
20.69,158.0,64.05,120.09,0.0
21.92,155.0,63.17,117.0,0.0
23.14,156.0,61.23,113.92,0.0
24.28,154.0,62.4,110.72,0.0
25.51,150.0,60.16,107.64,0.0
26.73,141.0,64.54,105.08,0.0
27.96,152.0,66.58,102.79,0.0
