R,Vobs,Vgas,Vdisk,Vbulge
0.37,183.0,-2.62,11.2,123.59
0.74,196.0,-3.79,21.14,191.42
1.11,205.0,-4.87,30.05,218.87
1.48,211.0,-5.72,38.06,240.05
1.84,214.0,-6.31,45.23,258.74
2.21,214.0,-6.65,51.92,273.65
2.6,213.0,-6.69,58.41,280.2
2.96,211.0,-6.41,63.99,275.3
3.17,210.0,-6.08,66.97,274.94
3.33,209.0,-5.72,69.15,273.2
3.7,207.0,-4.34,74.09,268.56
4.07,206.0,0.84,78.64,262.81
4.44,205.0,5.14,83.02,255.92
4.81,205.0,7.67,87.31,248.41
5.18,206.0,9.9,90.63,241.01
5.55,207.0,12.08,91.17,233.88
5.92,208.0,14.21,91.98,227.13
6.28,210.0,16.44,93.75,220.9
6.34,210.0,16.75,94.14,219.93
6.65,212.0,18.67,96.53,214.9
7.03,214.0,20.8,99.17,209.22
7.39,215.0,22.73,101.39,204.19
7.77,216.0,24.56,103.08,199.24
8.14,217.0,26.28,105.18,194.76
8.51,218.0,27.91,106.86,190.42
8.88,218.0,29.33,108.2,186.31
9.25,218.0,30.55,109.65,182.7
9.52,218.0,31.16,110.49,180.08
9.62,218.0,31.36,110.78,179.14
9.99,217.0,32.17,111.77,175.79
10.4,217.0,33.08,112.69,172.23
10.71,216.0,34.0,113.45,169.76
11.12,215.0,35.01,114.16,166.6
12.67,212.0,39.99,115.88,156.1
12.98,211.0,41.0,116.15,154.24
15.86,209.0,52.47,115.82,139.51
19.05,215.0,66.17,112.66,127.33
22.14,215.0,76.32,108.18,118.11
25.34,210.0,79.67,102.95,110.4
28.53,196.0,78.35,97.69,104.04
31.72,185.0,74.49,92.71,98.67
34.91,182.0,72.76,88.3,94.06
38.0,181.0,70.63,85.07,90.15
