R,Vobs,Vgas,Vdisk,Vbulge
0.67,43.8,-1.86,59.04,0.0
1.32,64.2,-3.8,76.34,0.0
1.97,73.3,-4.48,88.63,0.0
2.62,84.2,7.23,96.45,0.0
3.28,96.2,12.91,105.73,0.0
3.93,102.0,15.03,114.11,0.0
4.58,104.0,16.47,116.44,0.0
5.22,106.0,19.07,115.33,0.0
5.9,106.0,21.96,114.16,0.0
6.54,108.0,24.08,111.48,0.0
7.19,111.0,26.59,108.69,0.0
7.87,114.0,28.42,108.61,0.0
8.51,116.0,29.67,108.62,0.0
9.16,117.0,30.73,106.75,0.0
9.84,118.0,33.62,102.47,0.0
10.48,120.0,36.6,98.04,0.0
11.13,121.0,38.63,94.48,0.0
11.78,122.0,39.4,91.23,0.0
12.43,122.0,39.69,88.36,0.0
13.08,122.0,40.46,85.84,0.0
13.73,123.0,42.0,83.43,0.0
14.38,124.0,43.44,80.87,0.0
15.03,124.0,44.21,78.55,0.0
15.68,123.0,45.27,76.81,0.0
16.33,123.0,46.72,75.17,0.0
16.98,123.0,48.07,73.49,0.0
17.72,121.0,49.41,71.61,0.0
18.28,122.0,50.57,70.3,0.0
19.02,122.0,51.53,68.7,0.0
19.67,121.0,52.02,67.38,0.0
20.32,120.0,52.11,66.16,0.0
20.97,119.0,51.82,65.01,0.0
