R,Vobs,Vgas,Vdisk,Vbulge
0.16,1.99,1.86,3.75,0.0
0.41,4.84,4.24,9.47,0.0
0.57,6.79,5.61,11.76,0.0
0.73,8.87,6.77,13.72,0.0
0.9,10.9,7.77,14.8,0.0
1.06,12.9,8.44,15.24,0.0
1.22,14.7,8.64,15.11,0.0
1.47,16.8,8.08,15.9,0.0
1.79,20.1,6.91,14.91,0.0
