R,Vobs,Vgas,Vdisk,Vbulge
0.44,15.7,-2.08,12.26,0.0
1.32,44.5,-5.39,28.49,0.0
2.2,69.4,-6.26,35.84,0.0
3.08,90.0,-3.53,40.15,0.0
3.96,105.0,1.83,41.23,0.0
4.84,113.0,8.4,42.44,0.0
5.53,117.0,13.64,43.19,0.0
7.48,124.0,27.27,47.2,0.0
8.37,127.0,32.13,48.6,0.0
9.24,130.0,36.26,48.96,0.0
10.13,133.0,39.77,48.92,0.0
13.23,142.0,47.41,49.96,0.0
