R,Vobs,Vgas,Vdisk,Vbulge
0.34,13.5,4.08,44.78,0.0
0.67,31.3,7.65,48.88,0.0
1.0,35.3,10.36,46.82,0.0
1.34,50.5,11.92,43.88,0.0
1.68,61.0,12.33,40.74,0.0
2.01,66.5,12.44,38.01,0.0
2.34,74.4,12.54,35.66,0.0
2.67,83.0,12.44,33.66,0.0
3.01,86.4,12.13,31.74,0.0
3.35,83.6,12.02,29.95,0.0
3.68,79.8,12.54,28.46,0.0
4.02,82.8,13.47,27.13,0.0
4.35,83.5,14.61,25.93,0.0
4.68,80.4,15.44,24.93,0.0
5.02,80.3,15.86,24.0,0.0
5.35,82.1,15.86,23.2,0.0
5.69,82.4,15.65,22.42,0.0
6.03,80.9,15.44,21.74,0.0
6.36,79.0,15.65,21.15,0.0
6.69,81.4,16.27,20.57,0.0
7.02,79.7,17.1,20.07,0.0
7.36,77.5,17.83,19.59,0.0
7.7,79.9,17.93,19.12,0.0
8.03,81.5,18.24,18.72,0.0
8.37,82.2,18.65,18.33,0.0
8.7,82.0,18.97,17.95,0.0
9.03,84.7,19.38,17.62,0.0
9.37,86.1,19.59,17.3,0.0
9.7,85.3,19.9,16.98,0.0
10.04,86.5,19.9,16.69,0.0
