R,Vobs,Vgas,Vdisk,Vbulge
0.96,22.9,4.08,14.85,0.0
1.92,33.5,6.24,21.2,0.0
2.88,37.2,7.45,20.56,0.0
3.83,35.9,8.09,20.08,0.0
