R,Vobs,Vgas,Vdisk,Vbulge
0.51,143.0,-3.74,195.66,0.0
0.69,160.0,-4.96,213.36,0.0
0.86,178.0,-6.2,228.63,0.0
1.03,188.0,-7.39,242.31,0.0
1.2,187.0,-8.46,244.99,0.0
1.38,195.0,-9.15,248.08,0.0
1.55,199.0,-9.58,251.75,0.0
1.71,203.0,-9.77,258.35,0.0
1.89,206.0,-9.95,262.92,0.0
2.06,211.0,-9.95,270.25,0.0
2.23,219.0,-9.95,275.1,0.0
2.41,216.0,-10.14,276.83,0.0
2.58,214.0,-10.6,274.55,0.0
2.75,213.0,-11.16,274.06,0.0
2.92,210.0,-11.53,273.74,0.0
3.09,214.0,-11.25,275.23,0.0
3.26,213.0,-9.77,276.33,0.0
3.43,212.0,-7.06,278.46,0.0
3.61,215.0,2.4,278.97,0.0
3.78,217.0,7.87,280.87,0.0
3.95,219.0,10.51,281.76,0.0
4.12,220.0,12.28,282.78,0.0
4.29,218.0,13.95,281.57,0.0
4.46,220.0,15.63,279.92,0.0
4.64,220.0,17.49,276.26,0.0
4.81,216.0,19.07,272.38,0.0
4.98,220.0,20.0,268.13,0.0
5.15,218.0,20.46,264.51,0.0
5.32,213.0,20.65,260.81,0.0
5.49,215.0,20.74,257.41,0.0
5.67,216.0,21.02,254.02,0.0
5.84,208.0,21.3,251.09,0.0
6.01,212.0,21.67,248.27,0.0
6.19,213.0,22.04,245.66,0.0
6.35,216.0,22.51,243.33,0.0
6.64,210.0,23.63,238.82,0.0
8.82,210.0,34.97,209.65,0.0
11.07,210.0,43.44,188.05,0.0
13.32,206.0,45.95,172.02,0.0
15.49,206.0,45.39,159.31,0.0
17.74,206.0,42.23,147.38,0.0
