R,Vobs,Vgas,Vdisk,Vbulge
0.16,24.5,0.0,23.21,0.0
0.26,35.3,0.0,35.33,0.0
0.36,43.2,1.92,46.97,0.0
0.46,52.0,2.29,56.68,0.0
0.56,60.9,2.64,63.77,0.0
0.66,65.8,3.0,67.56,0.0
0.76,71.7,3.34,70.83,0.0
0.86,74.6,3.68,72.8,0.0
0.96,74.6,4.02,74.87,0.0
1.06,76.6,4.37,77.12,0.0
1.16,78.5,4.75,79.47,0.0
1.27,83.4,5.15,82.18,0.0
1.36,86.4,5.51,85.19,0.0
1.47,87.4,5.76,87.94,0.0
1.57,90.3,5.98,90.77,0.0
1.67,93.3,6.21,93.98,0.0
1.77,93.3,6.42,96.86,0.0
1.87,95.2,6.61,99.21,0.0
1.97,97.2,6.81,101.42,0.0
2.08,99.1,7.01,103.79,0.0
2.18,98.2,7.27,106.07,0.0
2.28,98.2,7.54,106.73,0.0
2.37,98.2,7.81,106.19,0.0
2.47,97.2,8.25,105.57,0.0
2.57,98.2,8.77,105.08,0.0
2.68,98.2,9.31,104.39,0.0
2.78,98.2,9.95,103.8,0.0
2.88,99.1,10.97,103.16,0.0
2.98,100.0,11.96,102.68,0.0
3.08,102.0,13.06,102.46,0.0
3.19,101.0,14.06,102.29,0.0
3.29,101.0,15.05,102.51,0.0
3.39,103.0,16.15,102.82,0.0
3.49,107.0,17.15,103.06,0.0
3.59,110.0,18.14,102.95,0.0
3.69,112.0,19.24,103.12,0.0
3.79,114.0,20.24,102.93,0.0
3.9,118.0,21.03,102.5,0.0
3.99,118.0,21.83,101.99,0.0
4.47,118.0,25.72,99.49,0.0
4.97,121.0,27.81,97.06,0.0
5.47,124.0,29.41,94.4,0.0
5.96,125.0,30.7,91.13,0.0
6.46,126.0,31.7,87.9,0.0
6.96,126.0,33.29,84.95,0.0
7.45,126.0,34.99,81.98,0.0
7.95,126.0,36.58,79.11,0.0
8.45,127.0,38.38,76.42,0.0
8.94,128.0,39.97,74.09,0.0
9.44,128.0,41.47,71.75,0.0
9.94,127.0,42.57,69.58,0.0
10.43,127.0,43.96,67.61,0.0
10.93,128.0,45.06,65.75,0.0
11.43,130.0,45.76,64.12,0.0
11.92,130.0,46.15,62.55,0.0
12.42,132.0,46.65,61.06,0.0
12.92,133.0,46.95,59.67,0.0
13.42,133.0,46.75,58.37,0.0
13.91,133.0,46.25,57.26,0.0
14.41,133.0,45.95,56.12,0.0
14.91,134.0,45.66,55.05,0.0
15.4,134.0,45.26,54.06,0.0
15.9,133.0,44.76,53.11,0.0
16.4,134.0,44.16,52.26,0.0
16.89,134.0,43.36,51.43,0.0
17.39,136.0,42.67,50.61,0.0
17.89,136.0,41.87,49.84,0.0
18.38,135.0,41.07,49.16,0.0
18.88,133.0,40.27,48.46,0.0
19.38,134.0,39.87,47.78,0.0
19.87,136.0,39.87,47.15,0.0
20.37,135.0,39.87,46.52,0.0
20.87,134.0,39.87,45.97,0.0
