R,Vobs,Vgas,Vdisk,Vbulge
0.28,107.0,-1.6,13.69,91.46
0.55,121.0,-2.32,26.0,143.82
0.83,134.0,-3.04,37.95,161.88
1.39,157.0,-4.39,60.02,171.18
1.65,168.0,-4.98,69.62,173.79
3.04,207.0,-7.06,115.86,156.1
3.32,213.0,-7.33,124.12,149.78
3.59,218.0,-7.54,132.68,144.22
3.87,222.0,-7.69,142.15,138.97
4.15,226.0,-7.79,153.48,134.27
4.43,229.0,-7.83,164.2,129.95
4.7,232.0,-7.81,172.5,126.18
4.97,234.0,-7.72,178.86,122.67
5.25,235.0,-7.58,184.4,119.35
5.52,236.0,-7.35,190.48,116.43
5.8,237.0,-7.05,196.76,113.55
6.08,237.0,-6.7,202.21,110.91
6.36,237.0,-6.27,207.12,108.43
6.63,236.0,-5.76,210.37,106.22
6.91,236.0,-5.16,212.88,104.02
7.19,235.0,-4.56,214.54,101.99
7.27,234.0,-4.39,214.82,101.43
7.46,234.0,-3.95,215.36,100.13
8.02,231.0,1.42,216.46,96.57
8.29,229.0,3.82,216.57,94.99
8.56,228.0,5.49,216.49,93.48
8.84,226.0,7.01,215.92,91.98
9.12,224.0,8.51,215.26,90.56
9.69,221.0,11.96,213.03,87.86
12.11,216.0,24.01,197.34,78.59
14.58,220.0,33.03,180.81,71.62
14.68,220.0,33.34,180.14,71.38
15.2,221.0,34.96,176.93,70.15
15.5,221.0,35.77,175.4,69.47
15.71,221.0,36.68,174.35,69.0
16.02,221.0,37.49,172.9,68.33
16.32,221.0,38.3,171.46,67.7
16.53,221.0,39.11,170.51,67.27
16.84,221.0,39.92,169.21,66.64
16.94,221.0,40.33,168.81,66.45
19.4,218.0,47.22,157.9,62.09
21.77,216.0,52.28,148.59,58.61
24.23,215.0,54.82,138.99,55.56
26.69,212.0,55.53,130.82,52.94
29.06,208.0,54.01,124.32,50.73
31.52,209.0,51.78,118.54,48.71
36.34,220.0,47.22,109.34,45.37
40.04,220.0,42.76,103.66,43.22
