R,Vobs,Vgas,Vdisk,Vbulge
0.23,13.1,2.45,11.6,0.0
0.47,17.3,4.75,13.88,0.0
0.7,23.6,6.71,13.02,0.0
0.93,26.2,7.8,11.93,0.0
1.17,27.4,8.39,10.78,0.0
1.4,26.9,8.84,9.72,0.0
1.64,27.4,9.23,8.89,0.0
1.87,31.0,9.41,8.25,0.0
2.1,32.5,9.55,7.73,0.0
2.33,33.0,10.05,7.3,0.0
2.57,36.5,10.65,6.92,0.0
2.8,38.9,11.28,6.62,0.0
3.26,41.5,12.0,6.11,0.0
3.73,42.7,12.41,5.7,0.0
4.21,44.7,13.14,5.36,0.0
4.67,46.7,13.55,5.09,0.0
5.14,48.5,13.86,4.84,0.0
5.61,50.0,13.86,4.63,0.0
6.07,50.2,13.76,4.45,0.0
6.54,50.1,13.55,4.29,0.0
7.0,51.6,13.34,4.14,0.0
