R,Vobs,Vgas,Vdisk,Vbulge
0.25,4.25,1.87,2.88,0.0
0.41,6.84,3.32,3.93,0.0
0.57,9.56,4.8,4.8,0.0
0.74,12.3,6.44,6.36,0.0
0.9,15.1,8.03,7.43,0.0
1.07,17.5,9.79,8.56,0.0
1.24,19.7,11.57,9.52,0.0
1.4,21.8,13.11,10.08,0.0
1.57,24.4,14.44,10.55,0.0
1.72,27.3,15.54,10.95,0.0
1.89,30.3,16.53,11.36,0.0
2.06,32.6,17.3,11.57,0.0
2.46,33.3,18.07,12.23,0.0
2.79,34.6,18.07,12.94,0.0
3.13,34.2,17.41,12.45,0.0
