R,Vobs,Vgas,Vdisk,Vbulge
0.14,5.23,-0.97,4.32,0.0
0.42,15.4,0.23,11.34,0.0
0.69,24.4,3.77,17.59,0.0
0.97,32.1,5.25,23.49,0.0
1.25,34.6,5.18,27.96,0.0
1.52,37.9,-5.25,30.3,0.0
1.8,40.5,-9.36,30.65,0.0
2.07,43.0,-9.36,30.82,0.0
2.35,45.1,-7.81,31.07,0.0
2.63,45.6,-5.6,31.29,0.0
2.91,49.2,-4.88,31.96,0.0
3.19,50.3,-6.06,32.66,0.0
3.46,53.7,-7.65,33.34,0.0
3.74,58.0,-8.9,33.79,0.0
4.01,64.4,-9.52,33.93,0.0
4.29,67.5,-10.37,34.12,0.0
4.57,71.3,-8.76,34.51,0.0
4.85,75.6,1.41,34.99,0.0
5.13,80.0,9.52,35.27,0.0
5.4,82.8,17.13,35.21,0.0
5.68,84.8,23.98,35.26,0.0
5.86,86.3,27.31,35.38,0.0
6.36,90.2,36.83,34.91,0.0
6.51,91.3,39.02,34.54,0.0
6.69,92.8,38.64,34.02,0.0
