R,Vobs,Vgas,Vdisk,Vbulge
1.87,27.7,8.68,18.19,0.0
3.36,42.4,15.07,19.75,0.0
4.86,52.5,20.59,19.94,0.0
6.35,55.6,24.61,19.17,0.0
7.85,58.6,26.94,18.71,0.0
9.34,59.0,27.6,17.41,0.0
10.83,60.0,26.77,16.05,0.0
12.33,62.2,24.9,15.01,0.0
