R,Vobs,Vgas,Vdisk,Vbulge
0.91,33.1,0.0,31.52,0.0
1.36,46.7,0.0,37.5,0.0
1.82,53.9,0.0,42.04,0.0
2.27,58.8,2.86,46.16,0.0
2.72,65.6,7.4,48.37,0.0
3.17,70.8,8.38,49.78,0.0
3.63,82.1,8.42,50.48,0.0
4.08,84.1,9.19,50.65,0.0
4.54,83.4,12.0,50.39,0.0
4.99,81.5,12.98,49.84,0.0
5.45,80.8,13.57,49.05,0.0
5.9,82.8,15.44,48.12,0.0
6.36,88.2,20.16,47.07,0.0
6.81,88.5,24.2,45.98,0.0
7.26,88.4,27.05,44.86,0.0
7.71,88.2,28.23,43.73,0.0
8.17,89.5,27.84,42.59,0.0
8.62,89.7,26.95,41.5,0.0
9.07,93.7,26.46,40.45,0.0
9.53,97.0,26.26,39.41,0.0
9.96,96.2,25.18,38.5,0.0
10.45,94.8,24.1,37.5,0.0
10.93,92.5,23.02,36.62,0.0
11.32,92.8,22.03,35.97,0.0
11.8,93.5,21.74,35.19,0.0
