R,Vobs,Vgas,Vdisk,Vbulge
0.09,11.2,0.32,12.72,0.0
0.26,26.5,0.96,26.94,0.0
0.43,33.7,1.6,35.34,0.0
0.6,32.7,2.25,40.03,0.0
0.77,33.7,2.89,43.26,0.0
0.94,35.7,3.55,45.85,0.0
1.11,37.8,4.2,48.05,0.0
1.28,41.8,4.86,48.94,0.0
1.46,43.9,5.23,50.17,0.0
1.63,44.9,5.36,51.3,0.0
2.05,53.2,5.65,53.95,0.0
2.74,64.3,9.45,56.61,0.0
3.42,73.1,11.66,56.83,0.0
4.11,76.2,15.23,58.16,0.0
4.79,78.4,19.76,56.9,0.0
5.48,83.1,23.04,53.88,0.0
6.16,88.0,26.02,50.76,0.0
6.85,89.9,27.47,47.3,0.0
7.53,90.6,29.11,43.89,0.0
8.21,91.6,31.03,41.41,0.0
8.9,92.3,32.1,39.37,0.0
9.57,90.9,32.38,37.7,0.0
10.31,89.6,32.77,36.11,0.0
10.96,89.4,32.48,34.88,0.0
