R,Vobs,Vgas,Vdisk,Vbulge
1.25,34.1,1.71,29.4,0.0
3.75,78.4,4.27,49.15,0.0
6.25,96.9,7.23,50.52,0.0
8.76,108.0,11.57,51.47,0.0
11.25,113.0,13.37,53.63,0.0
13.74,114.0,16.66,57.25,0.0
16.22,121.0,23.15,57.75,0.0
18.71,126.0,30.33,55.23,0.0
21.3,128.0,35.52,52.6,0.0
23.79,129.0,39.51,50.52,0.0
26.28,129.0,42.0,47.75,0.0
28.77,131.0,44.9,45.88,0.0
31.25,131.0,45.1,43.92,0.0
33.74,131.0,43.0,42.1,0.0
36.23,127.0,42.3,40.43,0.0
38.82,126.0,42.4,38.83,0.0
41.31,130.0,41.7,37.43,0.0
43.8,132.0,40.21,36.18,0.0
46.28,134.0,38.81,35.02,0.0
48.77,129.0,37.11,33.97,0.0
51.26,132.0,35.72,33.04,0.0
53.75,125.0,34.72,32.1,0.0
