R,Vobs,Vgas,Vdisk,Vbulge
1.25,47.0,2.05,56.98,0.0
2.08,59.5,6.07,64.63,0.0
2.9,71.6,10.81,74.91,0.0
3.73,77.6,14.74,77.71,0.0
4.56,83.4,17.0,79.57,0.0
5.39,89.7,19.26,79.39,0.0
6.22,93.8,21.62,73.38,0.0
7.04,99.0,23.59,69.52,0.0
7.87,103.0,27.03,65.95,0.0
8.7,100.0,28.5,62.8,0.0
9.54,98.3,29.19,59.81,0.0
10.34,98.4,29.29,56.87,0.0
11.21,94.5,30.27,54.18,0.0
11.98,94.9,31.35,52.09,0.0
12.85,95.3,32.24,49.97,0.0
13.72,96.9,32.83,48.07,0.0
14.49,97.2,33.03,46.57,0.0
15.36,100.0,33.12,45.03,0.0
16.13,104.0,32.83,43.81,0.0
17.0,104.0,33.52,42.53,0.0
17.78,105.0,32.34,41.49,0.0
18.65,109.0,31.65,40.42,0.0
19.52,110.0,29.88,39.42,0.0
20.29,107.0,29.39,38.61,0.0
21.16,106.0,29.0,37.75,0.0
21.93,106.0,27.91,37.04,0.0
22.8,108.0,27.03,36.29,0.0
23.67,109.0,25.65,35.58,0.0
24.44,110.0,26.24,34.99,0.0
25.31,110.0,25.85,34.35,0.0
26.08,110.0,25.26,33.82,0.0
26.95,113.0,26.83,33.25,0.0
27.73,114.0,30.76,32.76,0.0
28.6,112.0,31.75,32.24,0.0
29.47,113.0,34.6,31.75,0.0
30.24,115.0,37.45,31.33,0.0
