R,Vobs,Vgas,Vdisk,Vbulge
0.75,169.0,0.0,53.73,163.04
1.55,203.0,0.16,99.45,214.33
2.3,232.0,0.0,134.15,231.92
3.06,256.0,1.12,162.98,250.27
3.85,248.0,10.81,187.48,252.3
4.61,253.0,18.83,206.85,245.12
5.36,269.0,25.11,220.81,233.77
6.12,268.0,29.26,232.37,221.48
6.91,260.0,31.48,243.48,209.61
7.66,245.0,32.44,254.23,199.62
8.42,247.0,32.35,258.51,190.58
8.86,267.0,32.44,258.41,185.85
9.21,255.0,32.44,257.39,182.29
10.82,253.0,33.51,252.03,168.18
11.56,271.0,34.86,249.34,162.76
12.4,276.0,37.47,246.01,157.16
14.17,275.0,44.03,245.22,146.96
16.88,275.0,57.16,236.05,134.67
19.49,276.0,67.4,232.49,125.34
22.19,267.0,77.25,219.85,117.47
24.8,257.0,79.95,209.2,111.12
27.51,254.0,78.21,199.59,105.5
30.12,248.0,75.51,191.82,100.83
35.43,227.0,77.83,176.46,92.96
