R,Vobs,Vgas,Vdisk,Vbulge
0.35,20.9,-0.82,48.76,0.0
1.07,61.7,-2.5,98.26,0.0
1.6,81.3,-3.73,114.22,0.0
3.7,124.0,-7.4,144.04,0.0
5.09,156.0,-9.39,154.24,0.0
6.61,166.0,-10.89,166.19,0.0
8.17,165.0,-5.79,171.87,0.0
9.11,174.0,9.64,169.05,0.0
10.37,164.0,17.85,166.21,0.0
11.28,176.0,22.68,167.76,0.0
13.62,174.0,31.86,164.88,0.0
15.04,168.0,35.59,159.31,0.0
16.37,166.0,38.11,153.0,0.0
17.59,167.0,40.13,146.12,0.0
18.8,167.0,41.74,140.2,0.0
20.13,165.0,42.85,134.43,0.0
21.35,165.0,43.55,129.7,0.0
22.57,165.0,44.16,125.69,0.0
23.89,165.0,45.07,121.68,0.0
25.11,163.0,46.68,118.15,0.0
26.33,162.0,48.39,114.89,0.0
27.65,162.0,50.01,111.67,0.0
28.87,162.0,51.42,108.99,0.0
30.09,160.0,52.53,106.1,0.0
