R,Vobs,Vgas,Vdisk,Vbulge
0.41,15.0,10.41,8.28,0.0
0.82,23.4,18.08,12.66,0.0
1.24,29.2,20.09,15.11,0.0
1.64,36.2,20.2,15.99,0.0
2.06,44.0,22.0,16.89,0.0
2.47,52.1,22.63,17.03,0.0
2.89,52.9,22.95,16.99,0.0
3.3,54.8,22.74,17.19,0.0
3.71,55.0,22.74,17.16,0.0
4.12,52.0,22.74,16.37,0.0
