R,Vobs,Vgas,Vdisk,Vbulge
0.26,6.1,1.0,2.78,0.0
0.52,11.2,2.12,4.73,0.0
0.77,14.9,4.53,7.0,0.0
1.03,19.1,6.54,8.59,0.0
1.29,24.3,8.22,10.63,0.0
1.55,29.8,10.06,11.72,0.0
1.81,34.3,11.73,12.56,0.0
2.06,38.2,12.92,13.39,0.0
2.32,42.5,13.76,13.69,0.0
2.58,42.3,14.44,13.73,0.0
2.84,47.3,15.04,13.74,0.0
3.1,49.3,15.37,14.32,0.0
3.35,50.6,15.75,15.08,0.0
3.61,53.0,16.29,15.34,0.0
3.87,54.7,16.37,14.77,0.0
4.13,55.2,16.42,14.16,0.0
4.38,57.5,16.88,13.87,0.0
4.64,59.1,17.22,13.96,0.0
4.9,61.2,17.66,14.01,0.0
5.16,62.7,18.09,14.01,0.0
5.42,64.4,18.73,13.96,0.0
5.67,66.6,19.3,13.99,0.0
5.93,66.3,19.36,13.93,0.0
6.19,66.2,19.43,13.15,0.0
6.45,67.3,19.41,12.62,0.0
